         27262 function calls (26164 primitive calls) in 1.080 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.003    0.003 x:\_WORK\Python\Qt\BigLinks\HMC\widget_manager.py:402(CodeEditorWidget)
        1    0.000    0.000    0.003    0.003 x:\_WORK\Python\Qt\BigLinks\GUX\code_editor.py:45(__init__)
        1    0.000    0.000    0.003    0.003 x:\_WORK\Python\Qt\BigLinks\AuraText\auratext\Core\powershell.py:219(start_powershell)
       28    0.000    0.000    0.003    0.000 C:\Users\thewi\miniconda3\Lib\json\__init__.py:299(loads)
       28    0.000    0.000    0.003    0.000 C:\Users\thewi\miniconda3\Lib\json\decoder.py:332(decode)
        1    0.000    0.000    0.003    0.003 x:\_WORK\Python\Qt\BigLinks\HMC\vault_manager.py:168(__init__)
        1    0.000    0.000    0.003    0.003 x:\_WORK\Python\Qt\BigLinks\GUX\code_editor.py:108(add_tab)
       28    0.003    0.000    0.003    0.000 C:\Users\thewi\miniconda3\Lib\json\decoder.py:343(raw_decode)
        1    0.000    0.000    0.003    0.003 x:\_WORK\Python\Qt\BigLinks\HMC\widget_manager.py:361(FileExplorerWidget)
        1    0.003    0.003    0.003    0.003 {built-in method start}
        1    0.000    0.000    0.003    0.003 x:\_WORK\Python\Qt\BigLinks\GUX\file_explorer.py:14(__init__)
        2    0.000    0.000    0.003    0.001 x:\_WORK\Python\Qt\BigLinks\HMC\theme_manager.py:702(load_custom_themes)
        1    0.000    0.000    0.003    0.003 x:\_WORK\Python\Qt\BigLinks\GUX\file_explorer.py:21(setup_ui)
        2    0.000    0.000    0.003    0.001 C:\Users\thewi\miniconda3\Lib\site-packages\requests\sessions.py:457(prepare_request)
        5    0.000    0.000    0.003    0.001 C:\Users\thewi\miniconda3\Lib\logging\__init__.py:988(format)
        5    0.000    0.000    0.003    0.001 C:\Users\thewi\miniconda3\Lib\logging\__init__.py:690(format)
        1    0.000    0.000    0.002    0.002 C:\Users\thewi\miniconda3\Lib\logging\__init__.py:649(formatException)
        1    0.000    0.000    0.002    0.002 C:\Users\thewi\miniconda3\Lib\traceback.py:111(print_exception)
        1    0.000    0.000    0.002    0.002 x:\_WORK\Python\Qt\BigLinks\GUX\overlay.py:75(__init__)
        1    0.000    0.000    0.002    0.002 x:\_WORK\Python\Qt\BigLinks\HMC\vault_manager.py:183(load_vaults)
        1    0.000    0.000    0.002    0.002 C:\Users\thewi\miniconda3\Lib\socket.py:947(getaddrinfo)
        1    0.002    0.002    0.002    0.002 {built-in method _socket.getaddrinfo}
       10    0.000    0.000    0.002    0.000 C:\Users\thewi\miniconda3\Lib\site-packages\huggingface_hub\file_download.py:1531(try_to_load_from_cache)
       29    0.002    0.000    0.002    0.000 {built-in method nt.stat}
       30    0.002    0.000    0.002    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.002    0.002 C:\Users\thewi\miniconda3\Lib\traceback.py:718(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\thewi\miniconda3\Lib\traceback.py:399(_extract_from_extended_frame_gen)
       35    0.002    0.000    0.002    0.000 {built-in method nt._path_exists}
        1    0.000    0.000    0.002    0.002 x:\_WORK\Python\Qt\BigLinks\GUX\code_editor.py:201(__init__)
        1    0.000    0.000    0.002    0.002 x:\_WORK\Python\Qt\BigLinks\GUX\overlay.py:36(__init__)
       34    0.002    0.000    0.002    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       19    0.000    0.000    0.002    0.000 C:\Users\thewi\miniconda3\Lib\pathlib.py:835(stat)
       48    0.000    0.000    0.002    0.000 C:\Users\thewi\miniconda3\Lib\traceback.py:318(line)
        8    0.000    0.000    0.002    0.000 C:\Users\thewi\miniconda3\Lib\linecache.py:26(getline)
       16    0.000    0.000    0.002    0.000 C:\Users\thewi\miniconda3\Lib\pathlib.py:852(exists)
        8    0.000    0.000    0.002    0.000 C:\Users\thewi\miniconda3\Lib\linecache.py:36(getlines)
        4    0.000    0.000    0.001    0.000 C:\Users\thewi\miniconda3\Lib\linecache.py:80(updatecache)
